idx,class,AP@0.5:0.95,AP@0.5,precision,recall,test boxes
22,Tree,0.8782593823958763,0.9554350195878044,0.941747572815534,0.9603960396039604,101
19,Stop Sign,0.8244780205759815,0.9843243243243243,0.9733333333333334,0.9864864864864865,74
6,Crosswalk,0.8142723954263543,0.9624609656149757,0.9793706032950749,0.9516129032258065,186
7,Door,0.7203534632226626,0.8925808665808667,0.9449277025504611,0.8916666666666667,120
15,Rat,0.7002126229286743,0.8798936808715565,0.9049307206662333,0.8854660155691629,129
9,Fire Hydrant,0.661881978190507,0.9823804636283712,0.8966723311091405,1.0,103
16,Red Light,0.6501656518303548,0.9133006808943089,0.9528149872640866,0.9041796429912848,134
8,Elevator,0.6491231693698607,0.7764044293862982,0.9114924677420617,0.7817258883248731,197
20,Traffic Cone,0.5960397800158377,0.8298826841337552,0.9260013677258131,0.8354978354978355,231
25,Yellow Light,0.5547124706921267,0.7274505929776376,0.8657448731189737,0.7358490566037735,106
3,Bus,0.5303414155643823,0.630942074610907,0.6933213601480968,0.6762589928057554,139
5,Car,0.49002167364407834,0.6505697799885174,0.7064769355107302,0.7081967213114754,305
10,Green Light,0.48976974521239003,0.706188797506711,0.736332905208472,0.7435111890942117,154
11,Gun,0.48357348798152133,0.6626789797689042,0.9053417099641139,0.6672837165139696,129
4,Bushes,0.46307224896208304,0.6365334739144237,0.8635627087274197,0.6515837104072398,221
17,Scooter,0.41464273683229014,0.6351501049580885,0.8653827981186514,0.612235438992708,147
14,Pothole,0.4076359780054992,0.6226707271655134,0.6972643649807874,0.6605504587155964,109
21,Train,0.39058227761582465,0.7179920376607909,0.8411430073664157,0.7378247797137417,122
1,Bicycle,0.3727524773259731,0.6178190537904931,0.7246076753654046,0.6238898408843332,194
12,Motorcycle,0.31489408753315024,0.659801589689599,0.7268842118540279,0.676,250
23,Truck,0.29379580569069735,0.3518421052631579,0.9166507775558699,0.36,50
2,Branch,0.20989365165004553,0.3647369189965098,0.6237035807231323,0.3991556425363637,54
18,Stairs,0.20304130434782608,0.3136304347826087,0.46685490201460506,0.44,25
13,Person,0.13068822200841687,0.23990788697367976,0.5200356972558533,0.2850356294536817,421
